timestamp	status	claim	command	exit_code	evidence
2026-05-09T09:24:49Z	passed	Yunshu VERSION, SKILL.md, README.md are consistent	python scripts\yunshu.py version-check	0	.yunshu\verification\verify-20260509-172448.log
2026-05-09T09:24:49Z	failed	Yunshu CLI has valid Python syntax	python -m py_compile scripts\yunshu.py	1	.yunshu\verification\verify-20260509-172448.log
2026-05-09T09:24:49Z	passed	Yunshu Markdown internal links are valid	python scripts\yunshu.py audit links	0	.yunshu\verification\verify-20260509-172448.log
2026-05-09T09:27:40Z	passed	Yunshu Markdown internal links are valid after docs update	python scripts\yunshu.py audit links	0	.yunshu\verification\verify-20260509-172739-969575-5b994371.log
2026-05-09T09:27:40Z	passed	Yunshu VERSION, SKILL.md, README.md are consistent after CLI fix	python scripts\yunshu.py version-check	0	.yunshu\verification\verify-20260509-172739-987574-ceb77d0d.log
2026-05-09T09:27:40Z	passed	Yunshu CLI has valid Python syntax	python -m py_compile scripts\yunshu.py	0	.yunshu\verification\verify-20260509-172740-132740-3f450e49.log
2026-05-09T09:51:53Z	passed	DOD-1 version consistency gate passes	python scripts\yunshu.py version-check	0	.yunshu\verification\verify-20260509-175152-669951-5d0ead24.log
2026-05-09T09:52:47Z	passed	DOD-2 markdown link audit passes	python scripts\yunshu.py audit links	0	.yunshu\verification\verify-20260509-175246-928191-9ae04bb3.log
2026-05-09T09:52:56Z	passed	DOD-3 existing checkpoint validates	python scripts\yunshu.py validate checkpoint .yunshu\checkpoints\yunshu-v3-upgrade-plan-20260509-172336\checkpoint.json	0	.yunshu\verification\verify-20260509-175256-441259-de3d55d9.log
2026-05-09T09:54:04Z	passed	DOD-4 checkpoint resume prints recovery authority	python scripts\yunshu.py checkpoint resume yunshu-v3-upgrade-plan-20260509-172336	0	.yunshu\verification\verify-20260509-175404-694453-dcd935cc.log
2026-05-09T10:05:22Z	passed	DOD-5 yunshu CLI has valid Python syntax	python -m py_compile scripts\yunshu.py	0	.yunshu\verification\verify-20260509-180521-571218-f9185aba.log
2026-05-09T10:05:43Z	passed	DOD-6 sync-trae dry-run enumerates release files	powershell -ExecutionPolicy Bypass -File scripts\sync-trae.ps1	0	.yunshu\verification\verify-20260509-180541-432516-33a08eaa.log
2026-05-09T10:12:39Z	failed	DOD-7 sync-trae dry-run can be captured when PowerShell output is redirected	powershell -NoProfile -ExecutionPolicy Bypass -File scripts\sync-trae.ps1 *> .yunshu\verification\sync-trae-dry-run-redirected.log	1	.yunshu\verification\verify-20260509-181237-356242-d5b33c7c.log
2026-05-09T10:13:50Z	passed	BUG-1 verify run captures non-ASCII PowerShell output	powershell -NoProfile -Command Write-Output 中文输出	0	.yunshu\verification\verify-20260509-181348-374239-cdee5d2f.log
2026-05-09T10:14:06Z	passed	BUG-1 control: verify run captures ASCII command output	powershell -NoProfile -Command Write-Output ascii-output	0	.yunshu\verification\verify-20260509-181404-495473-f5506cea.log
2026-05-09T11:30:28Z	passed	BUG-1 verify run captures non-ASCII PowerShell output after fix	powershell -NoProfile -Command Write-Output 中文输出	0	.yunshu\verification\verify-20260509-193025-390581-c0452217.log
2026-05-09T11:33:30Z	passed	Remediation tests pass	python -m unittest discover -s tests -v	0	.yunshu\verification\verify-20260509-193330-465817-b6334a0d.log
2026-05-09T11:33:31Z	passed	Remediation version check passes	python scripts\yunshu.py version-check	0	.yunshu\verification\verify-20260509-193330-977093-6ee456e5.log
2026-05-09T11:33:31Z	passed	Remediation markdown links pass	python scripts\yunshu.py audit links	0	.yunshu\verification\verify-20260509-193331-423211-f14df489.log
2026-05-09T11:33:33Z	passed	Remediation evidence validates	python scripts\yunshu.py validate evidence reports\yunshu-system-audit-acceptance-evidence-20260509.json	0	.yunshu\verification\verify-20260509-193333-090048-df3ac3ed.log
2026-05-09T11:36:47Z	passed	REMEDIATION unit tests pass	python -m unittest discover -s tests -v	0	.yunshu\verification\verify-20260509-193647-225409-fc64b70b.log
2026-05-09T11:36:47Z	passed	REMEDIATION yunshu.py compiles	python -m py_compile scripts\yunshu.py	0	.yunshu\verification\verify-20260509-193647-749245-05f3206b.log
2026-05-09T11:36:48Z	passed	REMEDIATION version metadata stays consistent	python scripts\yunshu.py version-check	0	.yunshu\verification\verify-20260509-193648-178155-de29b6df.log
2026-05-09T11:36:48Z	passed	REMEDIATION markdown internal links pass	python scripts\yunshu.py audit links	0	.yunshu\verification\verify-20260509-193648-557188-f3c64af6.log
2026-05-09T11:37:00Z	passed	REMEDIATION verify run captures Chinese PowerShell output	powershell -NoProfile -Command Write-Output 中文输出	0	.yunshu\verification\verify-20260509-193657-696642-1cd781b7.log
2026-05-09T11:39:07Z	passed	REMEDIATION structured evidence validates	python scripts\yunshu.py validate evidence reports\yunshu-system-remediation-evidence-20260509.json	0	.yunshu\verification\verify-20260509-193907-466570-c6fb50ba.log
2026-05-11T01:13:19Z	passed	版本号已更新且 VERSION/SKILL/README 一致	python scripts\yunshu.py version-check	0	.yunshu/verification/verify-20260511-091318-958603-69a157bb.log
2026-05-11T01:13:19Z	passed	Markdown 内链未被新增报告和门禁修改破坏	python scripts\yunshu.py audit links	0	.yunshu/verification/verify-20260511-091319-099263-2f561abf.log
